roteiro_link,filme_nome,tipo_filme
http://www.roteirodecinema.com.br/banco/celebridade110.doc,"CELEBRIDADE CAPÍTULO no.110",TELEVISÃO
http://www.roteirodecinema.com.br/banco/celebridade158.doc,"CELEBRIDADE CAPÍTULO no. 158",TELEVISÃO
http://www.roteirodecinema.com.br/banco/celebridade169.doc,"CELEBRIDADE CAPÍTULO no. 169",TELEVISÃO
http://www.roteirodecinema.com.br/banco/celebridade221A.doc,"CELEBRIDADE CAPÍTULO no. 221",TELEVISÃO
http://www.casacinepoa.com.br/os-filmes/roteiros/hora-da-estrela,"HORA DA ESTRELA, A",TELEVISÃO
http://www.casacinepoa.com.br/os-filmes/roteiros/negro-bonif%C3%A1cio,"NEGRO BONIFÁCIO",TELEVISÃO
http://www.casacinepoa.com.br/os-filmes/roteiros/tr%C3%AAs-palavras-divinas,"TRÊS PALAVRAS DIVINAS, AS",TELEVISÃO
http://www.casacinepoa.com.br/os-filmes/roteiros/jogos-do-amor-e-do-acaso,"JOGOS DO AMOR E DO ACASO",TELEVISÃO
http://www.casacinepoa.com.br/os-filmes/roteiros/tudo-num-dia-s%C3%B3,"TUDO NUM DIA SÓ",TELEVISÃO
http://www.casacinepoa.com.br/os-filmes/roteiros/aeroplanos,"AEROPLANOS",TELEVISÃO
http://www.casacinepoa.com.br/os-filmes/roteiros/fome-e-vontade-de-comer,"FOME E A VONTADE DE COMER, A",TELEVISÃO
http://www.casacinepoa.com.br/os-filmes/roteiros/coisa-certa,"COISA CERTA, A",TELEVISÃO
http://www.casacinepoa.com.br/os-filmes/roteiros/o-bochecha,"BOCHECHA, O",TELEVISÃO
http://www.casacinepoa.com.br/os-filmes/roteiros/o-%C3%BAltimo-desejo-do-dr-genarinho,"ÚLTIMO DESEJO DO DR. GENARINHO, O",TELEVISÃO
http://www.casacinepoa.com.br/os-filmes/roteiros/luna-caliente-cap-1,"LUNA CALIENTE CAPÍTULO I",TELEVISÃO
http://www.casacinepoa.com.br/os-filmes/roteiros/luna-caliente-cap-2,"LUNA CALIENTE CAPÍTULO II",TELEVISÃO
http://www.casacinepoa.com.br/os-filmes/roteiros/luna-caliente-cap-3,"LUNA CALIENTE CAPÍTULO III",TELEVISÃO
http://www.casacinepoa.com.br/os-filmes/roteiros/luna-caliente-cap-4,"LUNA CALIENTE CAPÍTULO IV",TELEVISÃO
http://www.casacinepoa.com.br/os-filmes/roteiros/anchietanos-epis%C3%B3dio,"ANCHIETANOS",TELEVISÃO
